I%M/ˆ`<†-q.iié\md¸a§=¬LŒÁKXþtemp,light,hum
22.30,3.33,64.70
22.30,3.33,64.70
22.30,0.00,64.70
22.30,3.33,64.70
22.30,3.33,64.70
22.30,3.33,64.70
22.30,0.00,64.70
22.30,3.33,64.70
22.20,3.33,65.30
22.20,3.33,65.30
22.20,0.00,65.30
22.20,0.00,65.30
22.20,3.33,65.30
22.20,3.33,65.30
22.20,3.33,65.30
22.20,0.00,65.30
22.20,3.33,65.30
22.60,6.67,63.10
22.60,3.33,63.10
22.60,3.33,63.10
22.60,3.33,63.10
22.60,0.00,63.10
22.60,3.33,63.10
22.60,3.33,63.10
22.60,3.33,63.10
22.60,3.33,63.10
22.40,3.33,64.90
22.40,3.33,64.90
22.40,0.00,64.90
22.40,0.00,64.90
22.40,0.00,64.90
22.40,0.00,64.90
22.40,3.33,64.90
22.40,0.00,64.90
22.20,0.00,65.70
22.20,3.33,65.70
22.20,3.33,65.70
22.20,3.33,65.70
22.20,3.33,65.70
22.20,6.67,65.70
22.20,3.33,65.70
22.20,3.33,65.70
22.20,3.33,65.70
22.20,3.33,66.70
22.20,3.33,66.70
22.20,3.33,66.70
22.20,3.33,66.70
22.20,3.33,66.70
22.20,0.00,66.70
22.20,3.33,66.70
22.20,3.33,66.70
22.50,0.00,66.40
22.50,3.33,66.40
22.50,3.33,66.40
22.50,3.33,66.40
22.50,3.33,66.40
22.50,3.33,66.40
22.50,0.00,66.40
22.50,3.33,66.40
22.50,3.33,66.40
22.30,3.33,68.80
22.30,0.00,68.80
22.30,0.00,68.80
22.30,3.33,68.80
22.30,6.67,68.80
22.30,3.33,68.80
22.30,6.67,68.80
22.30,0.00,68.80
22.20,0.00,68.00
22.20,3.33,68.00
22.20,6.67,68.00
22.20,3.33,68.00
22.20,0.00,68.00
22.20,3.33,68.00
22.20,3.33,68.00
22.20,3.33,68.00
22.20,6.67,68.00
22.40,3.33,67.90
22.40,6.67,67.90
22.40,6.67,67.90
22.40,3.33,67.90
22.40,0.00,67.90
22.40,3.33,67.90
22.40,3.33,67.90
22.40,0.00,67.90
22.30,3.33,67.00
22.30,0.00,67.00
22.30,6.67,67.00
22.30,3.33,67.00
22.30,3.33,67.00
22.30,3.33,67.00
22.30,3.33,67.00
22.30,6.67,67.00
22.30,3.33,67.00
22.40,3.33,66.00
22.40,0.00,66.00
22.40,6.67,66.00
22.40,3.33,66.00
22.40,3.33,66.00
22.40,3.33,66.00
22.40,3.33,66.00
22.40,0.00,66.00
22.40,3.33,66.00
22.10,0.00,68.10
22.10,3.33,68.10
22.10,6.67,68.10
22.10,0.00,68.10
22.10,3.33,68.10
22.10,3.33,68.10
22.10,0.00,68.10
22.10,3.33,68.10
22.40,6.67,68.20
22.40,3.33,68.20
22.40,3.33,68.20
22.40,0.00,68.20
22.40,3.33,68.20
22.40,3.33,68.20
22.40,6.67,68.20
22.40,3.33,68.20
22.40,3.33,68.20
22.30,3.33,67.70
22.30,3.33,67.70
22.30,3.33,67.70
22.30,6.67,67.70
22.30,3.33,67.70
22.30,0.00,67.70
22.30,6.67,67.70
22.30,3.33,67.70
22.20,3.33,67.80
22.20,6.67,67.80
22.20,6.67,67.80
22.20,3.33,67.80
22.20,3.33,67.80
22.20,0.00,67.80
22.20,3.33,67.80
22.20,3.33,67.80
22.20,6.67,67.80
22.50,6.67,68.00
22.50,3.33,68.00
22.50,3.33,68.00
22.50,3.33,68.00
22.50,6.67,68.00
22.50,6.67,68.00
22.50,6.67,68.00
22.50,6.67,68.00
22.40,3.33,68.10
22.40,6.67,68.10
22.40,6.67,68.10
22.40,3.33,68.10
22.40,3.33,68.10
22.40,6.67,68.10
22.40,3.33,68.10
22.40,3.33,68.10
22.40,6.67,68.10
22.60,3.33,66.90
22.60,3.33,66.90
22.60,6.67,66.90
22.60,3.33,66.90
22.60,3.33,66.90
22.60,3.33,66.90
22.60,3.33,66.90
22.60,3.33,66.90
22.20,0.00,65.50
22.20,0.00,65.50
22.20,3.33,65.50
22.20,3.33,65.50
22.20,3.33,65.50
22.20,3.33,65.50
22.20,3.33,65.50
22.20,3.33,65.50
22.20,3.33,65.50
22.60,3.33,67.30
22.60,0.00,67.30
22.60,3.33,67.30
22.60,6.67,67.30
22.60,0.00,67.30
22.60,6.67,67.30
22.60,3.33,67.30
22.60,3.33,67.30
22.60,6.67,67.30
22.20,3.33,66.70
22.20,6.67,66.70
22.20,6.67,66.70
22.20,6.67,66.70
22.20,3.33,66.70
22.20,6.67,66.70
22.20,3.33,66.70
22.20,6.67,66.70
22.40,6.67,68.10
22.40,10.00,68.10
22.40,6.67,68.10
22.40,6.67,68.10
22.40,6.67,68.10
22.40,6.67,68.10
22.40,6.67,68.10
22.40,6.67,68.10
22.40,6.67,68.10
22.60,6.67,66.10
22.60,6.67,66.10
22.60,6.67,66.10
22.60,6.67,66.10
22.60,6.67,66.10
22.60,10.00,66.10
